ID_LAB;Species;Island_Site;Depth;Nb Zoox / cm2;Sum Extract CHl A / cm2;Sum Extract CHl C2 / cm2
2590;Pocillopora verrucosa;Rangiroa_3;40;2179023.892;8.74797606;1.650286689
918;Pachyseris speciosa;Bora_2;90;19322646.86;78.46744149;29.68533744
1843;Pachyseris speciosa;Tikehau_2;90;8896344.873;41.69681142;17.40913305
1844;Pachyseris speciosa;Tikehau_2;90;17035121.07;78.72412637;35.55324994
2570;Pachyseris speciosa;Rangiroa_3;90;15913120.22;53.02746299;25.13531034
2571;Pachyseris speciosa;Rangiroa_3;90;14601483.13;51.10368372;26.5656558
2572;Pachyseris speciosa;Rangiroa_3;90;7823456.936;30.8968385;14.04560379
1824;Pocillopora verrucosa;Tikehau_2;20;4160565.104;31.70771158;11.97832984
1861;Pocillopora verrucosa;Tikehau_2;40;3404410.622;14.26644308;5.408419736
1863;Pocillopora verrucosa;Tikehau_2;40;4199386.126;29.57417376;11.52929644
2589;Pocillopora verrucosa;Rangiroa_3;40;2732542.05;13.85679694;4.655598456
2591;Pocillopora verrucosa;Rangiroa_3;40;4709851.533;16.29571408;5.18649211
2592;Pocillopora verrucosa;Rangiroa_3;40;4482979.435;21.10097056;6.725408231
116;Pocillopora verrucosa;Moorea_2;20;1911724.987;15.16360994;6.003483341
1619;Pocillopora verrucosa;Tikehau_2;20;1790967.791;8.215180113;3.359247733
1822;Pocillopora verrucosa;Tikehau_2;20;7141828.763;42.26911876;16.70043722
2490;Pocillopora verrucosa;Rangiroa_3;20;3047877.733;15.69344797;4.741502871
2491;Pocillopora verrucosa;Rangiroa_3;20;1276039.442;7.92063649;3.045372835
2492;Pocillopora verrucosa;Rangiroa_3;20;2800266.878;11.32798975;3.443736899
1823;Pocillopora verrucosa;Tikehau_2;6;4022251.541;16.87215312;6.598379298
1825;Pocillopora verrucosa;Tikehau_2;6;5275239.264;29.4499174;10.90730516
2600;Pocillopora verrucosa;Rangiroa_3;6;2845135.28;8.721242744;3.415873492
2601;Pocillopora verrucosa;Rangiroa_3;6;5331522.486;18.90361449;8.342897336
2602;Pocillopora verrucosa;Rangiroa_3;6;3525855.722;12.28280136;3.468233166
2603;Pocillopora verrucosa;Rangiroa_3;6;2494198.375;4.073578553;3.309457731
1033;Pachyseris speciosa;Bora_2;60;10595916.82;22.68226459;9.96997568
917;Pachyseris speciosa;Bora_2;90;10975694.96;38.27684544;15.2564767
111;Pocillopora verrucosa;Moorea_2;20;3232857.444;11.96628987;4.934594016
921;Pocillopora verrucosa;Bora_2;20;4080063.179;18.36798004;5.865419216
922;Pocillopora verrucosa;Bora_2;20;3988435.878;25.16408004;8.754390402
1778;Pocillopora verrucosa;Tikehau_2;6;2599613.663;9.646015952;3.804747456
1834;Pachyseris speciosa;Tikehau_2;20;11612530.99;31.88982107;12.24186344
1743;Pachyseris speciosa;Tikehau_2;40;15861397.5;37.62785459;16.48387465
2479;Pachyseris speciosa;Rangiroa_3;40;10959588.33;30.32263527;10.82008804
2480;Pachyseris speciosa;Rangiroa_3;40;5646416.656;14.42203009;6.576080562
2469;Pachyseris speciosa;Rangiroa_3;60;6789920.376;20.62229492;8.080568939
2470;Pachyseris speciosa;Rangiroa_3;60;7287633.796;21.38920519;9.566112503
