ID_LAB,Depth,Island_Site,Size_Ba,Distance_Ba,Size_Ap,Distance_Ap,Size_Ba_sd,Distance_Ba_sd,Size_Ap_sd,Distance_Ap_sd
1144,60,Bora_2,0.8648,0.6525,0.7833,0.23299999999999998,0.08484993288807663,0.14173155376744212,0.09815186645647087,0.10263635916293126
1145,60,Bora_2,0.8534,0.5597,0.9664,0.16765,0.09744536931019349,0.25535902829806767,0.09751262026584617,0.04697520031297838
1146,60,Bora_2,0.8749,0.6853,0.7739,0.1747,0.08469349968497518,0.18439332959735824,0.10114505535231182,0.055273160052797976
1147,60,Bora_2,0.9557,0.7031000000000001,0.8441,0.1546,0.09961710027232608,0.1106169064835932,0.08618771503075263,0.029284808348356995
1148,60,Bora_2,0.8987,0.632,0.9683,0.14873,0.08905060983009108,0.22855050499470206,0.09497022925340577,0.029579950041277024
1149,60,Bora_2,0.8180000000000001,0.639,0.8605,0.3472,0.12171095084484204,0.22083276729487208,0.11621651250049529,0.09059163562075939
1612,20,Tikehau_2,0.5498000000000001,0.6158,0.8563999999999999,0.2112,0.05413727407659573,0.17605983831262217,0.17622157769253016,0.04752262619005814
1614,20,Tikehau_2,0.4983,0.5876,0.684,0.2195,0.050210777948785285,0.22162641238504643,0.09273977931107377,0.04020019347659356
1615,20,Tikehau_2,0.6204000000000001,0.6019,0.883,0.2397,0.09081507461747626,0.216542759441794,0.09452924297685757,0.06296392265063824
1616,20,Tikehau_2,0.5604,0.73740000000000006,0.878,0.2813,0.09278314023092292,0.26415323835481047,0.142715723652924,0.0705156405030512
1617,20,Tikehau_2,0.5914,0.6275,0.8351,0.261,0.0713118347665924,0.1944852179472774,0.13620609384311702,0.0898443097808648
1618,20,Tikehau_2,0.6782,0.7368,0.8989,0.3372,0.07596607429928473,0.27046207374294334,0.12253929075108023,0.11936852367539963
1619,20,Tikehau_2,0.8202,0.7576,0.9259,0.2451,0.15183894976805742,0.1721170144601244,0.1208841961915986,0.10478173080795675
1769,6,Tikehau_2,0.9526,0.3589,0.9515,0.193,0.06754126310798624,0.11338082338345895,0.2086359136017681,0.04674992572780791
1771,6,Tikehau_2,0.5478000000000001,0.5071,0.6222,0.1517,0.05051468433369977,0.1064084896362441,0.11560930373940981,0.02375827341276204
1772,6,Tikehau_2,0.6839,0.4648,0.7177,0.17025,0.07614671511117352,0.20455414931015212,0.06274649171246327,0.09919996919802389
1773,6,Tikehau_2,0.5932,0.5192,0.7471,0.14611,0.05413522164194234,0.16687506970452143,0.08102050494919308,0.050063170095390484
1774,6,Tikehau_2,0.6808000000000001,0.3572,0.6729,0.1606,0.06290875226159802,0.09853121332856915,0.05622069607063457,0.03553151965352578
1775,6,Tikehau_2,0.7115,0.1956,0.7624,0.19846,0.05914811915860045,0.0894814692175611,0.0792523396079468,0.10625328439368095
1778,6,Tikehau_2,0.6119,0.5551,0.7826,0.2888,0.06022264247495844,0.24525698540284002,0.08539346839451155,0.10621759636603427
1822,20,Tikehau_2,0.6357,0.6071,0.6664,0.2139,0.07522861453226719,0.17371077494885953,0.17858219396121214,0.055486635027425
1823,20,Tikehau_2,0.4666,0.4656,0.7626000000000001,0.2555,0.04452015773157644,0.08653990730036376,0.16443316778152353,0.0660593167791897
1824,20,Tikehau_2,0.5723,0.7025,0.7569,0.1643,0.07870345185144888,0.23355715455631934,0.1820466667887355,0.03284323031886142
1825,20,Tikehau_2,0.5245,0.516,0.7585,0.2362,0.06936577766529481,0.19671807237770503,0.11136052562136488,0.040633319660921964
1853,40,Tikehau_2,0.5337,0.5013,0.6867,0.3118,0.0375027406405926,0.12117026587960156,0.07810114524697374,0.07979668609103459
1854,40,Tikehau_2,0.5779,0.5393,1.008,0.214,0.06662240197144235,0.20539395750064743,0.14806980335864123,0.0586609845733185
1855,40,Tikehau_2,0.9073,0.5065,0.8311999999999999,0.2075,0.13615518107414543,0.1945971622494931,0.07881032081311856,0.11292007989921207
1856,40,Tikehau_2,0.6351,0.4582,0.8693,0.19164,0.09363813325777055,0.1211296825720269,0.11156467979507573,0.14838585736742793
1858,40,Tikehau_2,0.7056,0.5914,0.789,0.2898,0.08911565519031996,0.19239380909420598,0.12037903102746388,0.09233971097107802
1859,40,Tikehau_2,0.8274,0.5504,0.7766,0.3048,0.09044482664401911,0.22255096794517282,0.07477551589777084,0.2638904654923663
1860,40,Tikehau_2,0.7013,0.5734,0.9929,0.43069999999999997,0.1097776034636493,0.199694321957892,0.16286357617479866,0.08317858965970618
1862,40,Tikehau_2,0.66935,0.509,0.7681,0.33645,0.18158027802716087,0.1376073743433985,0.1398754709319009,0.09998709127208688
1863,40,Tikehau_2,0.9749,0.823,0.8263,0.29109999999999997,0.15146136287662423,0.2624042682579687,0.0828841896195462,0.05767427695448138
2483,20,Rangiroa_3,0.6192,0.4894,0.6802,0.321,0.080875487290306,0.11555104692059023,0.07839047561194323,0.09777411609305287
2484,20,Rangiroa_3,0.8009000000000001,0.7794,0.7856,0.3085,0.20151616973996572,0.1626299138808383,0.1424173834583093,0.0978005339680947
