ID_LAB,Island_Site,Depth,Extraction,δ13C,δ15N,Ratio_C_N,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox
1774,Tikehau_2,6,Zoox,-14.8,9.49,6.16,-1.01,-1.24,1.06824324324324,0.869336143308746
1774,Tikehau_2,6,Polyps,-15.81,8.25,3.1999999999999997,-1.01,-1.24,1.06824324324324,0.869336143308746
1775,Tikehau_2,6,Polyps,-16.59,6.89,2.857142857142857,-0.789999999999999,-2.77,1.05,0.713250517598344
1775,Tikehau_2,6,Zoox,-15.8,9.66,6.025974025974025,-0.789999999999999,-2.77,1.05,0.713250517598344
1778,Tikehau_2,6,Zoox,-14.94,9.94,6.236363636363636,0.0700000000000003,-1.26,0.995314591700134,0.873239436619718
1778,Tikehau_2,6,Polyps,-14.87,8.68,3.4545454545454546,0.0700000000000003,-1.26,0.995314591700134,0.873239436619718
1822,Tikehau_2,20,Zoox,-15.77,7.99,5.605263157894736,-0.5,-0.82,1.03170577045022,0.897371714643304
1822,Tikehau_2,20,Polyps,-16.27,7.17,3.25,-0.5,-0.82,1.03170577045022,0.897371714643304
1823,Tikehau_2,6,Zoox,-14.24,10.11,6.125,-0.17,-0.99,1.0119382022471901,0.902077151335312
1823,Tikehau_2,6,Polyps,-14.41,9.12,3.142857142857143,-0.17,-0.99,1.0119382022471901,0.902077151335312
1824,Tikehau_2,20,Polyps,-17.62,9.79,3.142857142857143,-1.33,-0.0100000000000016,1.0816451810927,0.998979591836735
1824,Tikehau_2,20,Zoox,-16.29,9.8,4.947368421052631,-1.33,-0.0100000000000016,1.0816451810927,0.998979591836735
1825,Tikehau_2,6,Zoox,-14.47,10.02,6.272727272727272,0.460000000000001,0.0600000000000005,0.96821008984105,1.0059880239521
1825,Tikehau_2,6,Polyps,-14.01,10.08,2.8999999999999995,0.460000000000001,0.0600000000000005,0.96821008984105,1.0059880239521
1853,Tikehau_2,40,Zoox,-18.54,8.4,5.28,0.710000000000001,-0.58,0.961704422869471,0.930952380952381
1853,Tikehau_2,40,Polyps,-17.83,7.82,2.666666666666667,0.710000000000001,-0.58,0.961704422869471,0.930952380952381
1854,Tikehau_2,40,Polyps,-17.05,10.48,4,0.859999999999999,2.26,0.951982132886656,1.27493917274939
1854,Tikehau_2,40,Zoox,-17.91,8.22,4.961538461538462,0.859999999999999,2.26,0.951982132886656,1.27493917274939
1855,Tikehau_2,40,Polyps,-18.43,7.34,1.8333333333333335,-0.829999999999998,-1.59,1.04715909090909,0.821948488241881
1855,Tikehau_2,40,Zoox,-17.6,8.93,5.603174603174603,-0.829999999999998,-1.59,1.04715909090909,0.821948488241881
1856,Tikehau_2,40,Zoox,-17.47,9.41,5.4655172413793105,-0.27,-1.7,1.01545506582713,0.819341126461211
1856,Tikehau_2,40,Polyps,-17.74,7.71,2.5,-0.27,-1.7,1.01545506582713,0.819341126461211
1858,Tikehau_2,40,Polyps,-17.65,9.13,2.875,0.520000000000003,0.33,0.97138139790864,1.0375
1858,Tikehau_2,40,Zoox,-18.17,8.8,5.578947368421053,0.520000000000003,0.33,0.97138139790864,1.0375
1859,Tikehau_2,40,Polyps,-16.65,9.67,3.8333333333333335,0.400000000000002,0.709999999999999,0.976539589442815,1.07924107142857
1859,Tikehau_2,40,Zoox,-17.05,8.96,6.27027027027027,0.400000000000002,0.709999999999999,0.976539589442815,1.07924107142857
1860,Tikehau_2,40,Zoox,-17.76,10.11,6.448275862068966,0.150000000000002,-1.54,0.991554054054054,0.847675568743818
1860,Tikehau_2,40,Polyps,-17.61,8.57,4.333333333333334,0.150000000000002,-1.54,0.991554054054054,0.847675568743818
1863,Tikehau_2,40,Zoox,-19.05,10,5.805555555555555,1.48,-2.2,0.922309711286089,0.78
1863,Tikehau_2,40,Polyps,-17.57,7.8,3.5454545454545454,1.48,-2.2,0.922309711286089,0.78
232,Moorea_2,40,Zoox,-17.66,4.63,5.971014492753624,-0.210000000000001,-0.14,1.0118912797282,0.96976241900648
232,Moorea_2,40,Polyps,-17.87,4.49,4.3999999999999995,-0.210000000000001,-0.14,1.0118912797282,0.96976241900648
235,Moorea_2,6,Polyps,-14.54,4.36,3.1999999999999997,-0.75,-0.46,1.05438723712835,0.904564315352697
235,Moorea_2,6,Zoox,-13.79,4.82,5.296875,-0.75,-0.46,1.05438723712835,0.904564315352697
237,Moorea_2,6,Polyps,-14.62,4.61,4.5,-0.719999999999999,-0.85,1.05179856115108,0.844322344322344
237,Moorea_2,6,Zoox,-13.9,5.46,5.909090909090908,-0.719999999999999,-0.85,1.05179856115108,0.844322344322344
238,Moorea_2,6,Polyps,-15.48,3.64,4.5,-0.76,-1.11,1.05163043478261,0.766315789473684
238,Moorea_2,6,Zoox,-14.72,4.75,6.951219512195123,-0.76,-1.11,1.05163043478261,0.766315789473684
240,Moorea_2,6,Zoox,-14.08,4.42,6,-0.279999999999999,-2.43,1.01988636363636,0.450226244343891
240,Moorea_2,6,Polyps,-14.36,1.99,3.5,-0.279999999999999,-2.43,1.01988636363636,0.450226244343891
2483,Rangiroa_3,20,Polyps,-16.81,9.17,3.6249999999999996,0.16,-0.73,0.990571596935769,0.926262626262626
2483,Rangiroa_3,20,Zoox,-16.97,9.9,5.953488372093023,0.16,-0.73,0.990571596935769,0.926262626262626
2484,Rangiroa_3,20,Zoox,-16.51,8.86,4.970588235294117,-0.279999999999998,-0.289999999999999,1.01695941853422,0.967268623024831
2484,Rangiroa_3,20,Polyps,-16.79,8.57,3.4,-0.279999999999998,-0.289999999999999,1.01695941853422,0.967268623024831
