Depth,Island_Site,Extraction,Nitrogen,Delta_Nitrogen15,Carbon,Delta_Carbon13,Ratio_C_N,Delta_Nitrogen15_SD,Delta_Carbon13_SD,Ratio_C_N_SD,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Delta13C_Pol_Zoox_SD,Delta15N_Pol_Zoox_SD,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox,Ratio13C_Pol_Zoox_SD,Ratio15N_Pol_Zoox_SD
60,Tikehau_2,Polyps,0.07571428571428572,7.187142857142857,0.44285714285714284,-18.422857142857143,5.841785198928056,1.8719126963769284,0.7347270306200866,0.5716293271855054,0.18571428571428608,0.18571428571428608,1.5731542472733835,1.5731542472733835,0.9912574136016284,0.8326472578636654,0.02568035968367743,0.20092444464712478
60,Tikehau_2,Zoox,0.26142857142857145,8.575714285714286,1.81,-18.60857142857143,7.026390480434598,0.45675876721588116,1.1643085010916503,0.7689471632158424,0.18571428571428608,0.18571428571428608,1.5731542472733835,1.5731542472733835,0.9912574136016284,0.8326472578636654,0.02568035968367743,0.20092444464712478
72,Moorea_2,Polyps,0.06666666666666667,5.233333333333333,0.38,-19.116666666666667,5.674603174603175,0.4152509281546922,0.4561067126598045,0.48930357593010604,0.643333333333334,0.643333333333334,0.4160528812542944,0.4160528812542944,0.9679302834958117,1.1419692719708068,0.018330456246335055,0.09034329097204571
72,Moorea_2,Zoox,0.17666666666666667,4.583333333333333,1.3133333333333335,-19.76,7.397198879551821,0.08144527815247057,0.8241965784932627,0.4615012344882784,0.643333333333334,0.643333333333334,0.4160528812542944,0.4160528812542944,0.9679302834958117,1.1419692719708068,0.018330456246335055,0.09034329097204571
77,Moorea_2,Polyps,0.035,3.6550000000000002,0.175,-20.47,5.083333333333334,0.4596194077712558,0.8768124086713178,0.8249579113843056,-0.280000000000001,-0.280000000000001,0.2404163056034262,0.2404163056034262,1.01402248480337,0.9899005547686479,0.006291165761308692,0.06584264188013661
77,Moorea_2,Zoox,0.13,3.6849999999999996,0.83,-20.189999999999998,6.393939393939394,0.21920310216782976,0.989949493661168,0.0857099128710966,-0.280000000000001,-0.280000000000001,0.2404163056034262,0.2404163056034262,1.01402248480337,0.9899005547686479,0.006291165761308692,0.06584264188013661
90,Bora_2,Polyps,0.039,5.24,0.17500000000000002,-21.27,4.508333333333334,0.9784909015644674,0.7602923414348226,0.8055076614114806,0.011000000000000395,0.011000000000000395,0.8611981318037227,0.8611981318037227,1.0000075553002286,0.974550344732806,0.022669290104483066,0.1532481372011966
90,Bora_2,Zoox,0.154,5.388,0.9650000000000001,-21.281,6.295572638146168,0.5707071636721119,0.9362270617276091,0.5452148695009603,0.011000000000000395,0.011000000000000395,0.8611981318037227,0.8611981318037227,1.0000075553002286,0.974550344732806,0.022669290104483066,0.1532481372011966
90,Moorea_2,Polyps,0.025,2.37,0.1,-21.34,3.916666666666667,0.014142135623730963,0.18384776310850096,0.5892556509887897,-0.385,-0.385,2.1213203435596424,2.1213203435596424,1.018602559026505,1.1187621331506201,0.017692819615563106,0.8189422147760571
90,Moorea_2,Zoox,0.08499999999999999,2.9,0.45999999999999996,-20.955,5.116666666666666,2.135462479183374,0.5444722215136413,1.0135197197007182,-0.385,-0.385,2.1213203435596424,2.1213203435596424,1.018602559026505,1.1187621331506201,0.017692819615563106,0.8189422147760571
90,Rangiroa_3,Polyps,0.06555555555555556,8.561111111111112,0.43,-19.695555555555554,6.036195286195286,1.4051018152116632,0.6464926741872473,1.6256169706143804,0.3855555555555557,0.3855555555555557,0.9644298834026243,0.9644298834026243,0.9809239000222095,1.0279725654866887,0.0197125236813656,0.11751374591686777
90,Rangiroa_3,Zoox,0.1788888888888889,8.331111111111111,1.1244444444444444,-20.081111111111113,6.17185128062321,1.000617864677176,0.6192019954030444,0.6240195371496274,0.3855555555555557,0.3855555555555557,0.9644298834026243,0.9644298834026243,0.9809239000222095,1.0279725654866887,0.0197125236813656,0.11751374591686777
90,Tikehau_2,Polyps,0.0475,7.24125,0.23375,-20.17375,4.558333333333334,1.2672629392288162,0.6512172667945992,1.3125765283811615,0.05375000000000006,0.05375000000000006,1.162846722487534,1.162846722487534,0.9974337223282631,0.8568406334628159,0.018967206849243252,0.13909339695346276
90,Tikehau_2,Zoox,0.21,8.4525,1.31125,-20.2275,6.22989067568587,0.5868499443152884,0.6029155354252724,0.6380828970381606,0.05375000000000006,0.05375000000000006,1.162846722487534,1.162846722487534,0.9974337223282631,0.8568406334628159,0.018967206849243252,0.13909339695346276
