Sample ID;Weight (mg);N2 Amp;%N;δ15N vs. At. Air;CO2 Amp;%C;δ13C vs. VPDB
2487-Z;9.906;1,673;0.37;9.62;1,232;1.93;-16.77
2488-P;20.684;764;0.08;8.67;411;0.30;-16.10
2488-Z;10.359;1,645;0.35;9.10;1,274;1.94;-16.25
1822-Z;10.486;1,857;0.38;7.99;1,403;2.13;-15.77
1822-P;19.125;719;0.08;7.17;332;0.26;-16.27
116-P;19.561;829;0.09;7.79;359;0.27;-17.24
116-Z;11.277;1,824;0.35;9.46;1,458;2.03;-17.52
1619-Z;10.441;1,231;0.26;4.29;1,004;1.48;-16.87
1619-P;19.659;485;0.06;4.40;253;0.19;-16.30
2490-P;19.003;569;0.07;8.83;411;0.32;-16.43
2490-Z;11.2;1,287;0.25;9.14;981;1.34;-16.61
2491-P;19.691;911;0.10;9.49;444;0.34;-16.26
2491-Z;10.803;1,600;0.31;9.51;1,134;1.63;-16.29
2492-P;18.266;560;0.07;8.92;417;0.34;-16.83
2492-Z;10.363;1,523;0.32;9.43;1,348;2.02;-16.78
1823-P;20.091;604;0.07;9.12;284;0.22;-14.41
1823-Z;10.497;1,894;0.40;10.11;1,540;2.45;-14.24
6036-P;20.668;551;0.06;4.59;292;0.22;-15.93
6036-Z;11.118;1,322;0.27;4.22;1,138;1.68;-16.01
6037-Z;10.854;1,356;0.28;4.04;1,054;1.62;-17.46
6037-P;20.681;487;0.06;2.74;257;0.20;-17.24
6039-P;18.103;415;0.05;4.52;271;0.24;-17.35
6039-Z;11.735;894;0.17;3.88;726;1.00;-17.78
6040-Z;12.121;1,129;0.21;4.15;937;1.27;-17.26
6040-P;19.112;446;0.05;4.16;284;0.23;-16.80
6042-P;19.449;604;0.07;3.90;349;0.29;-16.87
6042-Z;11.647;2,078;0.40;4.29;1,656;2.43;-16.87
6078-P;20.714;283;0.03;0.43;176;0.12;-18.47
6078-Z;11.282;1,060;0.22;3.99;780;1.03;-18.62
1824-P;17.774;540;0.07;9.79;271;0.22;-17.62
1824-Z;10.575;1,795;0.38;9.80;1,321;1.88;-16.29
1861-P;17.936;491;0.06;NA;226;0.18;-18.96
1861-Z;10.561;1,185;0.26;8.96;870;1.24;-18.92
1863-Z;10.664;1,728;0.36;10.00;1,438;2.09;-19.05
1863-P;19.945;952;0.11;7.80;534;0.39;-17.57
2589-Z;8.126;798;0.23;8.96;604;1.23;-19.31
2589-P;18.39;532;0.07;9.42;261;0.23;-19.10
2591-P;19.254;612;0.07;9.67;399;0.34;-18.19
2591-Z;10.018;1,753;0.41;9.81;1,303;2.19;-18.04
2592-P;19.601;593;0.07;9.40;362;0.30;-19.01
2592-Z;9.463;1,071;0.26;8.99;895;1.58;-19.43
102-P;19.75;580;0.07;4.41;273;0.22;-16.44
102-Z;11.376;2,149;0.43;4.89;1,639;2.43;-16.42
124-Z;10.527;1,258;0.28;4.36;1,001;1.59;-18.30
