"sample";"island";"depth";"archipelago";"site";"Colbar";"A5/A5n";"A1-A1h-A1dl";"C1/C1d/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p";"C42.2/C1/C42g/C42a-C1b-C1az-C1au-C3-C115k-C41p-C115d";"C1/C42.2/C1j-C1b-C3cg-C1au-C3-C45c-C115k";"C42aj-C1cu";"C42.2/C1-C1b-C3-C1au";"C1cd/C1cf-C1-C1cg-C1ch-C1da";"C42.2/C1/C42a/C1b-C1az-C1au-C115d-C3-C1j";"C116-C116af-C116ag-C116q";"C1cd/C1cf-C1-C1cg-C1ce-C1ch";"C15h";"C116";"C1d/C42.2/C1";"C1/C42.2/C3-C1b";"C3fu";"C15/C15m";"C1/C42.2/C1ag-C3cg-C1b-C1bi-C3cw-C45c";"C116/C42.2-C1-C116q";"C21-C21u-C3-C21w-C21v";"C3";"C42a/C1/C42.2/C1b/C3-C1au";"C3/C21/C3av-C3at-C3b-C3dp";"C1/C42.2/C1d/C3cg-C1b-C3-C45c-C115k-C1au";"C1/C3";"D1-D6-D4-D2d-D2.2-D1h-D2f";"D1/D4-D6-D1h-D2g-D2d-D2.2";"D1-D6-D4-D1h-D2g";"D1-D4-D4c-D6-D1c";"D1/D6/D4-D2d-D1h-D2.2";"G3a-G3ai-G3ae"
"POC140";"SOCMOO";"40";"Society";"SOCMOO2";"c1";0;0;1254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC749";"SOCBOR";"40";"Society";"SOCBOR1";"c2";0;0;4648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6191";"SOCTAH";"40";"Society";"SOCTAH1";"c2";0;0;2365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1081";"SOCBOR";"40";"Society";"SOCBOR2";"c1";0;0;40734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6033";"SOCMOO";"40";"Society";"SOCMOO1";"c4";0;0;11864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1088";"SOCBOR";"40";"Society";"SOCBOR2";"c2";0;0;15859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1083";"SOCMOO";"40";"Society";"SOCMOO2";"c3";0;0;54054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1085";"SOCMOO";"40";"Society";"SOCMOO2";"c5";0;0;49334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC844";"SOCBOR";"40";"Society";"SOCBOR1";"c4";0;0;14987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1084";"SOCMOO";"40";"Society";"SOCMOO2";"c4";0;0;41873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6032";"SOCMOO";"40";"Society";"SOCMOO1";"c3";0;0;33824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1086";"SOCMOO";"40";"Society";"SOCMOO2";"c6";0;0;38601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC828";"SOCBOR";"40";"Society";"SOCBOR1";"c3";0;0;57375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1087";"SOCBOR";"40";"Society";"SOCBOR2";"c3";0;0;8284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1082";"SOCMOO";"40";"Society";"SOCMOO2";"c2";0;0;18497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6035";"SOCMOO";"40";"Society";"SOCMOO1";"c6";0;0;26835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC172";"SOCMOO";"40";"Society";"SOCMOO2";"c3";0;0;15873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6189";"SOCTAH";"40";"Society";"SOCTAH1";"c1";0;0;73665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17583;0;0;0;0;0
"POC6195";"SOCTAH";"40";"Society";"SOCTAH1";"c4";0;0;23141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12309;0;0;0;0;0
"POC143";"SOCMOO";"40";"Society";"SOCMOO2";"c2";0;0;0;49550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6196";"SOCTAH";"40";"Society";"SOCTAH1";"c5";0;0;0;23811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;0;0;0;0;0
"POC233";"SOCMOO";"40";"Society";"SOCMOO2";"c5";0;0;0;20588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC232";"SOCMOO";"40";"Society";"SOCMOO2";"c4";0;0;0;14137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6030";"SOCMOO";"40";"Society";"SOCMOO1";"c1";0;0;0;0;41377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6031";"SOCMOO";"40";"Society";"SOCMOO1";"c2";0;0;0;0;23509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6034";"SOCMOO";"40";"Society";"SOCMOO1";"c5";0;0;0;0;4890;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6193";"SOCTAH";"40";"Society";"SOCTAH1";"c3";0;0;934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33234;0;0;0;0;0
"POC748";"SOCBOR";"40";"Society";"SOCBOR1";"c1";0;0;0;0;0;0;0;0;62987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2027;0;0;0;0;0
"POC747";"SOCBOR";"40";"Society";"SOCBOR1";"c5";0;0;0;0;0;0;0;0;381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC163";"SOCMOO";"60";"Society";"SOCMOO2";"c1";0;0;94035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC166";"SOCMOO";"60";"Society";"SOCMOO2";"c2";0;0;18638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1148";"SOCBOR";"60";"Society";"SOCBOR2";"c6";0;0;21363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC89";"SOCMOO";"60";"Society";"SOCMOO2";"c6";0;0;49682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1147";"SOCBOR";"60";"Society";"SOCBOR2";"c5";0;0;9883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1144";"SOCBOR";"60";"Society";"SOCBOR2";"c2";0;0;21242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1146";"SOCBOR";"60";"Society";"SOCBOR2";"c4";0;0;22623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC168";"SOCMOO";"60";"Society";"SOCMOO2";"c4";0;0;12875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC169";"SOCMOO";"60";"Society";"SOCMOO2";"c5";0;0;2588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC167";"SOCMOO";"60";"Society";"SOCMOO2";"c3";0;0;17658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1145";"SOCBOR";"60";"Society";"SOCBOR2";"c3";0;0;32479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1476;0;0;0;0;0
